Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results,seed_word,source_file
egg styles,Informational,5400,"0.35,0.82,1.00,0.55,0.55,0.67,0.67,0.82,0.82,0.67,1.00,0.67",27,0.03,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches",8.0,style,style_broad-match_us_2025-12-12.csv
facial hair styles,Informational,5400,"0.81,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.67,0.67",26,0.38,0.02,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches",9.0,style,style_broad-match_us_2025-12-12.csv
hair style boyish,Informational,5400,"0.13,0.02,0.04,0.00,0.66,1.00,0.00,0.00,0.00,0.00,0.04,0.36",28,0.68,0.01,"Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",4020000.0,style,style_broad-match_us_2025-12-12.csv
hair styling powder,"Informational, Commercial",5400,"0.67,0.81,0.67,0.54,0.43,0.81,0.81,0.67,0.67,0.81,1.00,1.00",17,0.56,0.99,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know",61400000.0,style,style_broad-match_us_2025-12-12.csv
leadership styles of,Informational,5400,"0.01,0.01,0.01,0.01,0.81,0.66,1.00,0.66,0.54,0.00,0.02,0.44",26,0.28,0.04,"Sitelinks, Image pack, Video carousel, Related searches",10.0,style,style_broad-match_us_2025-12-12.csv
learning style quiz,"Informational, Commercial",5400,"0.67,0.44,0.28,0.67,0.44,0.36,0.44,0.44,0.36,0.28,1.00,0.54",29,0.15,0.05,"Sitelinks, Video, People also ask, Related searches",995000000.0,style,style_broad-match_us_2025-12-12.csv
long beard styles,"Informational, Commercial",5400,"0.55,0.67,0.67,0.82,1.00,1.00,0.82,1.00,1.00,0.82,0.67,0.82",28,0.38,0.01,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches",190000000.0,style,style_broad-match_us_2025-12-12.csv
male dreadlocks style,Informational,5400,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",28,0.15,0.01,"Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",15400000.0,style,style_broad-match_us_2025-12-12.csv
mission style,"Informational, Commercial",5400,"0.44,0.54,1.00,0.54,0.29,0.54,0.36,0.44,0.44,0.54,0.36,0.54",13,0.8,0.06,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches, Popular products",10.0,style,style_broad-match_us_2025-12-12.csv
natural hair styles,"Informational, Transactional",5400,"0.54,0.54,0.38,0.38,0.62,1.00,0.77,0.54,0.31,1.00,0.54,0.62",28,0.09,0.05,"Image, Image pack, Video, Video carousel, People also ask, Related searches",420000000.0,style,style_broad-match_us_2025-12-12.csv
quick weave styles,Commercial,5400,"0.36,0.54,0.23,0.54,0.54,1.00,0.67,0.67,0.44,0.44,0.67,0.67",28,0.29,0.75,"Image, Image pack, Video, People also ask, Related searches",97900000.0,style,style_broad-match_us_2025-12-12.csv
retro style dress to impress,Informational,5400,"1.00,0.67,0.67,0.35,0.30,0.19,0.15,0.15,0.15,0.19,0.13,0.07",24,0.54,0.4,"Sitelinks, Image, Image pack, Video, Short videos, Related searches, Popular products",16300000.0,style,style_broad-match_us_2025-12-12.csv
roaring twenties style men,"Informational, Commercial",5400,"0.66,0.81,1.00,0.66,0.54,0.66,0.54,0.19,0.01,0.00,0.00,0.00",20,0.54,1.0,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",976000.0,style,style_broad-match_us_2025-12-12.csv
short bob style hairstyles,Informational,5400,"0.01,0.00,0.07,0.01,0.00,1.00,1.00,0.66,0.66,0.00,0.00,0.00",27,0.05,0.28,"Image, Image pack, Video, Video carousel, People also ask, Related searches",29000000.0,style,style_broad-match_us_2025-12-12.csv
shotgun style house,Informational,5400,"0.44,0.03,1.00,0.24,0.24,0.54,0.12,0.19,0.16,0.81,0.36,0.36",24,0.01,0.01,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",7.0,style,style_broad-match_us_2025-12-12.csv
styles for tattoos,Informational,5400,"0.01,0.00,0.00,0.01,0.00,0.00,1.00,0.67,0.24,0.00,0.01,0.29",23,0.91,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",228000000.0,style,style_broad-match_us_2025-12-12.csv
therapist for avoidant attachment style,Informational,5400,"0.00,0.00,0.01,0.03,0.07,0.29,0.66,1.00,0.44,0.00,0.05,0.36",26,13.87,0.0,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",373000.0,style,style_broad-match_us_2025-12-12.csv
twee style,Informational,5400,"0.36,0.30,1.00,1.00,0.55,0.36,0.30,0.30,0.30,0.36,0.30,0.36",25,0.59,0.1,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches",36700000.0,style,style_broad-match_us_2025-12-12.csv
wedding hair styles,Informational,5400,"0.55,0.11,0.66,0.36,0.55,0.36,0.43,1.00,0.82,0.82,0.66,0.82",28,0.5,0.22,"Image, Image pack, Video, People also ask, Related searches",10.0,style,style_broad-match_us_2025-12-12.csv
what is detroit style pizza,Informational,5400,"0.81,0.67,0.67,1.00,0.81,0.81,0.67,1.00,0.81,1.00,0.81,0.67",17,0.05,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",9.0,style,style_broad-match_us_2025-12-12.csv
google docs resume template,Informational,40500,,29,1.87,,,,template,template_broad-match_us_2025-12-15.csv
traffic flow template,Informational,22200,,11,0.33,,,,template,template_broad-match_us_2025-12-15.csv
obituary template,Informational,18100,,26,0.92,,,,template,template_broad-match_us_2025-12-15.csv
birth plan template,Informational,14800,,20,0.44,,,,template,template_broad-match_us_2025-12-15.csv
framer templates,Navigational,12100,,25,3.74,,,,template,template_broad-match_us_2025-12-15.csv
trip itinerary template,Informational,9900,,27,1.0,,,,template,template_broad-match_us_2025-12-15.csv
2 weeks notice template,Informational,8100,,18,0.83,,,,template,template_broad-match_us_2025-12-15.csv
doctors note template,Informational,8100,,29,1.83,,,,template,template_broad-match_us_2025-12-15.csv
avery template 5160,Navigational,6600,,29,4.41,,,,template,template_broad-match_us_2025-12-15.csv
note from doctor template,Informational,6600,,26,1.83,,,,template,template_broad-match_us_2025-12-15.csv
apa annotated bibliography template,Informational,5400,,24,2.5,,,,template,template_broad-match_us_2025-12-15.csv
balance sheet template,Informational,5400,,25,5.84,,,,template,template_broad-match_us_2025-12-15.csv
esa letter template,Informational,5400,,17,1.7,,,,template,template_broad-match_us_2025-12-15.csv
sign in sheet template,"Navigational, Transactional",5400,,29,0.99,,,,template,template_broad-match_us_2025-12-15.csv
sign up sheet template,"Navigational, Transactional",5400,,19,1.28,,,,template,template_broad-match_us_2025-12-15.csv
snowflake template,"Informational, Transactional",5400,,23,0.13,,,,template,template_broad-match_us_2025-12-15.csv
mchc blood test,Informational,165000,"0.67,0.54,0.54,0.67,0.67,0.67,0.67,1.00,0.81,1.00,0.81,0.67",29,0.02,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
ati testing,Navigational,110000,"1.00,0.81,0.54,1.00,1.00,0.81,1.00,0.67,0.67,0.67,0.81,1.00",24,0.16,0.22,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",155000000.0,tester,tester_broad-match_us_2025-12-12.csv
love language test,"Informational, Commercial",110000,"0.81,0.69,1.00,0.69,0.56,1.00,0.69,0.69,0.44,0.81,0.56,0.25",22,0.68,0.59,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Ads top, Ads bottom",9.0,tester,tester_broad-match_us_2025-12-12.csv
rdw blood test,Informational,110000,"0.81,0.81,0.67,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81",23,0.98,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
ast blood test,Informational,74000,"0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81",23,0.7,0.0,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
gay test,Informational,74000,"0.83,1.00,0.83,1.00,1.00,0.83,0.83,0.67,0.56,0.37,0.37,0.44",23,0.68,0.02,"Sitelinks, Video, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
rdw blood test high,Informational,49500,"0.66,0.66,0.66,0.81,0.66,0.81,1.00,1.00,1.00,0.81,0.81,0.81",25,0.96,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
what is mchc in blood test,Informational,49500,"0.66,0.54,0.44,0.54,0.54,0.54,0.66,0.66,0.66,0.81,0.66,1.00",26,0.02,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
litmus test,Informational,40500,"1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.54,0.66,0.81",27,11.01,0.0,"Sitelinks, AI Overview, Instant answer, Image pack, Video, Knowledge panel, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
well water testing near me,Transactional,40500,"0.16,0.10,0.44,0.54,0.36,0.54,0.66,0.81,0.81,1.00,0.81,0.81",27,4.38,0.49,"Sitelinks, People also ask, Local pack, Related searches, Ads bottom",10.0,tester,tester_broad-match_us_2025-12-12.csv
first response pregnancy test,"Informational, Transactional",27100,"1.00,0.82,0.82,1.00,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00",21,0.95,0.09,"Sitelinks, Image, Image pack, Video, Knowledge panel, Discussions and forums, Related searches, Popular products",10.0,tester,tester_broad-match_us_2025-12-12.csv
how soon can you take a pregnancy test,Informational,27100,"0.66,0.66,0.81,0.81,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.66",20,0.43,0.1,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
mold test kit,Commercial,27100,"0.81,0.66,0.66,0.66,0.54,1.00,0.66,0.81,0.66,0.66,0.81,0.81",16,0.9,0.48,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products",9.0,tester,tester_broad-match_us_2025-12-12.csv
national entrance screening test,"Informational, Commercial",27100,"0.00,0.00,0.00,0.00,0.16,1.00,0.55,0.55,0.67,0.00,0.01,0.30",23,2.36,0.63,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know",95700000.0,tester,tester_broad-match_us_2025-12-12.csv
albumin blood test,Informational,22200,"0.81,0.66,0.66,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81",29,0.67,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
chivalry test,Informational,22200,"0.02,0.00,0.01,0.00,0.44,0.36,0.81,0.36,1.00,0.00,0.02,0.24",10,3.66,0.14,"Sitelinks, Video, Video carousel, People also ask, Related searches",3550000.0,tester,tester_broad-match_us_2025-12-12.csv
dutch test,Navigational,22200,"0.66,1.00,0.54,1.00,1.00,0.81,1.00,1.00,1.00,1.00,0.81,0.54",13,0.87,0.29,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
food sensitivity test,Commercial,22200,"0.83,0.69,0.83,0.83,0.83,1.00,0.83,1.00,0.83,0.83,0.83,0.69",28,2.22,0.89,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know, Ads bottom",10.0,tester,tester_broad-match_us_2025-12-12.csv
genesight testing,"Informational, Navigational",22200,"0.81,0.81,0.81,1.00,0.81,0.81,1.00,0.81,1.00,1.00,1.00,1.00",25,0.97,0.34,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Things to know, Ads bottom, Ads middle",135000.0,tester,tester_broad-match_us_2025-12-12.csv
genetic methylation test,Informational,22200,"0.37,0.44,0.19,0.54,0.44,0.54,0.54,1.00,0.54,0.37,0.30,0.30",25,4.42,1.0,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know, Ads bottom",12900000.0,tester,tester_broad-match_us_2025-12-12.csv
race purity test,Navigational,22200,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.24",21,4.46,0.0,"Sitelinks, Image pack, Video, Video carousel, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
staar released test,"Informational, Transactional",22200,"0.04,0.04,0.03,0.13,0.13,0.45,1.00,0.07,0.07,0.06,0.04,0.09",26,2.07,0.0,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
test out,"Informational, Transactional",22200,"0.66,1.00,0.66,0.54,0.66,0.66,0.66,0.36,0.24,0.16,0.24,0.66",17,3.98,0.0,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",3820000000.0,tester,tester_broad-match_us_2025-12-12.csv
act test dates 2025,Informational,18100,"0.07,0.13,0.24,0.54,0.29,0.67,0.67,0.81,1.00,0.81,0.81,1.00",22,0.84,0.26,"Sitelinks, AI Overview, Image pack, Video, Knowledge panel, Related searches",8.0,tester,tester_broad-match_us_2025-12-12.csv
asian test symposium,"Informational, Commercial",18100,"0.00,0.00,0.01,0.00,1.00,0.54,0.81,0.44,0.29,0.00,0.00,0.24",10,9.77,0.23,"Sitelinks, Video, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
battery tester,"Informational, Transactional",18100,"0.55,0.67,1.00,0.82,0.67,0.67,0.55,0.67,0.55,0.67,0.82,0.67",22,0.57,1.0,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches, Popular products",559000000.0,tester,tester_broad-match_us_2025-12-12.csv
childhood trauma test,Informational,18100,"0.69,0.44,0.81,0.69,1.00,0.56,0.56,0.69,0.69,0.44,0.44,0.25",29,0.37,0.44,"Sitelinks, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know",1070000000.0,tester,tester_broad-match_us_2025-12-12.csv
chloride blood test high,Informational,18100,"0.66,0.66,0.81,0.81,0.81,0.66,0.81,0.81,1.00,1.00,1.00,0.81",27,0.02,0.0,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",9.0,tester,tester_broad-match_us_2025-12-12.csv
diamond tester,Commercial,18100,"0.55,0.55,0.67,0.67,0.55,1.00,0.82,1.00,0.82,0.82,0.67,0.67",23,0.38,0.89,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know",802000000.0,tester,tester_broad-match_us_2025-12-12.csv
purity test,Informational,18100,"1.00,1.00,1.00,0.62,0.62,1.00,1.00,1.00,1.00,1.00,0.77,1.00",18,5.64,0.0,"Sitelinks, Video, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
test tube,"Informational, Transactional",18100,"0.36,0.25,0.25,0.36,0.30,0.30,0.25,0.36,0.16,0.25,1.00,0.67",24,1.13,0.28,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know",2710000000.0,tester,tester_broad-match_us_2025-12-12.csv
tilt table test,Informational,18100,"0.81,0.66,0.66,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81",15,1.81,0.04,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",8.0,tester,tester_broad-match_us_2025-12-12.csv
trauma test,"Informational, Commercial",18100,"0.24,0.36,1.00,0.66,0.36,0.44,0.29,0.24,0.24,0.29,0.29,0.24",23,0.5,0.67,"Image, Image pack, Video, People also ask, Related searches, Things to know, Ads bottom",10.0,tester,tester_broad-match_us_2025-12-12.csv
5 love languages test,Informational,14800,"0.20,0.20,0.12,0.12,0.30,0.55,1.00,0.30,0.36,0.36,0.44,0.24",29,0.68,0.59,"Sitelinks, Video, Discussions and forums, Related searches, Ads top, Ads bottom",490000000.0,tester,tester_broad-match_us_2025-12-12.csv
alkaline phosphatase blood test,Informational,14800,"0.81,0.81,0.81,0.44,0.67,0.67,0.81,0.67,0.81,1.00,1.00,0.81",26,1.41,0.07,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
at home strep test,Commercial,14800,"0.66,0.66,0.81,0.81,1.00,1.00,0.81,0.66,0.44,0.44,0.54,0.66",29,0.85,0.97,"Sitelinks, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know",110000000.0,tester,tester_broad-match_us_2025-12-12.csv
borderline personality disorder test,"Informational, Commercial",14800,"1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.56,0.56,0.56",23,0.68,0.61,"Sitelinks, People also ask, Discussions and forums, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
breathalyser alcohol tester,Commercial,14800,"1.00,0.81,1.00,0.81,0.66,0.81,0.81,0.81,0.54,0.00,0.05,0.66",29,2.5,1.0,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Ads bottom",2300000.0,tester,tester_broad-match_us_2025-12-12.csv
cat dna test,Commercial,14800,"1.00,0.66,0.81,0.66,0.43,0.66,0.54,0.54,0.54,0.54,0.54,0.54",22,0.82,0.95,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
cortisol test,Informational,14800,"0.66,0.54,0.54,0.66,0.66,1.00,0.81,1.00,1.00,0.66,0.81,0.54",27,1.27,0.9,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know, Ads bottom, Ads middle",10.0,tester,tester_broad-match_us_2025-12-12.csv
faint line on pregnancy test,Informational,14800,"0.67,0.67,0.81,0.81,0.67,1.00,0.81,0.81,0.67,0.81,0.81,0.81",19,0.43,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches",8.0,tester,tester_broad-match_us_2025-12-12.csv
false positive pregnancy test,Informational,14800,"0.81,0.81,0.81,0.81,0.67,1.00,0.81,0.81,0.67,0.67,0.67,0.67",23,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
how to pass a drug test,Informational,14800,"1.00,0.81,1.00,1.00,0.81,0.81,0.67,0.81,0.67,0.81,0.81,0.81",14,1.25,0.09,"AI Overview, Video, Video carousel, People also ask, Discussions and forums",637000000.0,tester,tester_broad-match_us_2025-12-12.csv
illuminate testing,Informational,14800,"0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.54,0.10,0.02,0.36,0.81",29,0.57,0.0,"Video, Related searches",73100000.0,tester,tester_broad-match_us_2025-12-12.csv
liability adequacy test,Informational,14800,"0.00,0.00,0.01,0.00,0.81,0.66,1.00,0.54,0.36,0.16,0.03,0.24",10,1.17,0.0,"AI Overview, Video, People also ask, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
postal service covid tests,"Informational, Transactional",14800,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",28,2.28,0.11,"Video, People also ask, Related searches",8810000.0,tester,tester_broad-match_us_2025-12-12.csv
racism purity test,Informational,14800,"0.66,0.81,0.81,0.66,0.54,0.66,0.66,1.00,0.81,0.81,1.00,0.66",16,4.46,0.0,AI Overview,10.0,tester,tester_broad-match_us_2025-12-12.csv
sneak peek gender test,"Informational, Transactional",14800,"0.81,0.81,0.66,1.00,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.81",13,1.34,1.0,"Sitelinks, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products, Ads bottom",3640000.0,tester,tester_broad-match_us_2025-12-12.csv
speakeasy speed test,Informational,14800,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,1.00,0.82",22,0.19,0.01,"Video, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
testing for allergic reactions,Informational,14800,"0.36,0.29,0.29,0.36,0.36,0.54,1.00,0.44,0.00,0.00,0.00,0.00",25,2.06,0.28,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Local pack, Related searches, See results about, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
tibc blood test,Informational,14800,"0.66,0.66,0.54,0.66,0.66,1.00,0.81,0.81,0.66,0.81,0.81,0.81",20,0.72,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
what does rdw stand for on blood test,Informational,14800,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.54,0.00,0.00,0.00",18,0.01,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
5 panel drug test,Informational,12100,"1.00,0.82,1.00,1.00,0.82,1.00,1.00,1.00,0.82,0.82,1.00,0.82",18,2.16,0.58,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches, Ads bottom, Ads middle",216000000.0,tester,tester_broad-match_us_2025-12-12.csv
aces assessment test,Informational,12100,"0.66,0.54,0.44,1.00,0.81,0.66,0.81,0.54,0.54,0.00,0.05,0.44",24,0.65,0.17,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know, Ads top, Ads bottom",10.0,tester,tester_broad-match_us_2025-12-12.csv
aces test,"Informational, Commercial",12100,"1.00,0.82,0.55,0.82,1.00,0.82,0.82,0.67,0.55,0.55,0.55,0.82",24,0.58,0.18,"Sitelinks, Image pack, Video, Video carousel, Related searches, Ads top, Ads bottom",7.0,tester,tester_broad-match_us_2025-12-12.csv
alk phos blood test,Informational,12100,"0.67,0.67,0.54,0.67,0.54,0.67,0.81,1.00,0.67,1.00,0.81,0.81",28,1.41,0.07,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
casper test,Navigational,12100,"0.54,0.36,0.36,0.36,0.30,0.30,0.54,0.81,0.81,1.00,0.67,0.54",25,1.3,0.0,"Sitelinks, Video, Video carousel, People also ask, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
compliance test specification,Informational,12100,"0.01,0.01,0.02,0.00,0.81,0.81,1.00,0.54,0.36,0.00,0.03,0.44",20,2.0,0.59,"Sitelinks, AI Overview, Video, People also ask, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
compression tester,Commercial,12100,"0.66,0.66,0.66,0.66,0.66,0.81,0.81,1.00,1.00,1.00,1.00,0.81",28,0.39,0.98,"Sitelinks, Image, Video, Related searches, Popular products",388000000.0,tester,tester_broad-match_us_2025-12-12.csv
how many questions are on the permit test,Informational,12100,"0.44,0.44,0.44,0.81,0.54,0.66,0.66,0.54,0.81,1.00,1.00,0.54",29,0.08,0.02,"Sitelinks, AI Overview, Video, Video carousel, Related searches",263000000.0,tester,tester_broad-match_us_2025-12-12.csv
how to test alternator,Informational,12100,"0.81,0.81,0.81,0.66,0.81,0.66,0.81,0.81,1.00,0.81,1.00,1.00",21,0.05,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches",65700000.0,tester,tester_broad-match_us_2025-12-12.csv
hsg test,Informational,12100,"0.36,0.36,0.30,0.36,0.36,0.44,0.44,0.44,0.36,1.00,0.44,0.44",28,5.17,0.08,"AI Overview, Image, Image pack, Video, Video carousel, Related searches",22700000.0,tester,tester_broad-match_us_2025-12-12.csv
love language test free,"Informational, Transactional",12100,"0.81,0.66,1.00,0.44,1.00,0.54,0.66,0.66,0.54,0.81,0.66,0.54",28,0.84,0.72,"Sitelinks, Video, People also ask, Discussions and forums, Related searches, Ads bottom, Ads middle",1430000000.0,tester,tester_broad-match_us_2025-12-12.csv
mchc blood test high,Informational,12100,"0.81,0.54,0.54,0.66,0.81,1.00,0.81,0.81,0.66,0.81,0.81,0.81",27,0.02,0.0,"Sitelinks, AI Overview, Image, Image pack, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
pre polytechnic test,"Informational, Commercial",12100,"0.04,0.01,0.03,0.00,0.81,0.81,1.00,0.67,0.44,0.00,0.03,0.44",16,1.36,0.03,"AI Overview, Video, People also ask, Related searches",37900000.0,tester,tester_broad-match_us_2025-12-12.csv
psychopath test,"Informational, Commercial",12100,"0.83,0.83,0.67,0.67,0.83,1.00,1.00,0.54,0.54,0.54,0.42,0.42",25,0.26,0.35,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, See results about",8.0,tester,tester_broad-match_us_2025-12-12.csv
raised mcv in blood test,Informational,12100,"0.01,0.01,0.02,0.00,0.81,0.81,1.00,0.54,0.54,0.00,0.05,0.44",21,0.01,0.01,"Sitelinks, AI Overview, Image, Video, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
regression testing,Informational,12100,"1.00,1.00,0.67,0.82,0.82,0.82,1.00,0.67,0.67,0.67,0.55,0.82",28,7.84,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
sat reasoning test dates,Informational,12100,"0.00,0.00,0.01,0.00,0.54,0.66,1.00,0.44,0.36,0.00,0.03,0.24",27,0.34,0.31,"People also ask, Knowledge panel, Related searches",10.0,tester,tester_broad-match_us_2025-12-12.csv
servsafe practice test,"Informational, Transactional",12100,"0.81,0.67,0.67,0.81,0.81,1.00,0.81,0.67,0.54,0.67,0.81,0.67",24,0.24,0.36,"Sitelinks, Video, Video carousel, People also ask, Related searches",677000.0,tester,tester_broad-match_us_2025-12-12.csv
smog test,Commercial,12100,"0.81,0.67,0.81,1.00,0.81,0.54,0.36,0.30,0.54,0.54,0.44,0.30",25,1.58,0.21,"Image, Image pack, Video, Video carousel, People also ask, Local pack, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
specific gravity test for urine,Informational,12100,"0.01,0.01,0.01,0.00,1.00,0.00,1.00,0.36,0.00,0.00,0.00,0.00",13,2.61,0.0,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10.0,tester,tester_broad-match_us_2025-12-12.csv
test boost max,"Informational, Transactional",12100,"0.55,0.55,0.55,1.00,0.55,0.55,1.00,0.82,0.55,0.45,0.30,0.23",22,3.72,1.0,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches",482000000.0,tester,tester_broad-match_us_2025-12-12.csv
titer test,Informational,12100,"0.36,0.36,0.36,0.36,0.66,1.00,0.81,0.54,0.54,0.54,0.54,0.54",21,2.5,0.18,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",9.0,tester,tester_broad-match_us_2025-12-12.csv
vital surge testo gummies,"Informational, Commercial",12100,"1.00,1.00,0.29,0.16,0.07,0.03,0.02,0.01,0.00,0.00,0.00,0.00",25,0.74,1.0,"AI Overview, Image pack, Video, People also ask, Related searches",6.0,tester,tester_broad-match_us_2025-12-12.csv
vocal range test,Informational,12100,"0.66,0.54,0.54,0.54,0.54,0.54,0.54,0.66,0.54,0.54,0.66,1.00",25,1.41,0.02,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches",75900000.0,tester,tester_broad-match_us_2025-12-12.csv
